amazon.aws.aws_ec2                                    EC2 inventory source 
amazon.aws.aws_rds                                    RDS instance inventor...
ansible.builtin.advanced_host_list                    Parses a 'host list' ...
ansible.builtin.auto                                  Loads and executes an...
ansible.builtin.constructed                           Uses Jinja2 to constr...
ansible.builtin.generator                             Uses Jinja2 to constr...
ansible.builtin.host_list                             Parses a 'host list' ...
ansible.builtin.ini                                   Uses an Ansible INI f...
ansible.builtin.script                                Executes an inventory...
ansible.builtin.toml                                  Uses a specific TOML ...
ansible.builtin.yaml                                  Uses a specific YAML ...
awx.awx.controller                                    Ansible dynamic inven...
azure.azcollection.azure_kql                          Azure Resource Manage...
azure.azcollection.azure_rm                           Azure Resource Manage...
cisco.aci.aci_inventory_system                        Cisco ACI inventory p...
cisco.meraki.meraki                                   Ansible dynamic inven...
cloudscale_ch.cloud.inventory                         cloudscale.ch invento...
community.aws.aws_mq                                  MQ broker inventory s...
community.digitalocean.digitalocean                   DigitalOcean Inventor...
community.dns.hetzner_dns_records                     Create inventory from...
community.dns.hosttech_dns_records                    Create inventory from...
community.docker.docker_containers                    Ansible dynamic inven...
community.docker.docker_machine                       Docker Machine invent...
community.docker.docker_swarm                         Ansible dynamic inven...
community.general.cobbler                             Cobbler inventory sou...
community.general.gitlab_runners                      Ansible dynamic inven...
community.general.icinga2                             Icinga2 inventory sou...
community.general.iocage                              `iocage' inventory so...
community.general.linode                              Ansible dynamic inven...
community.general.lxd                                 Returns Ansible inven...
community.general.nmap                                Uses nmap to find hos...
community.general.online                              Scaleway (previously ...
community.general.opennebula                          OpenNebula inventory ...
community.general.scaleway                            Scaleway inventory so...
community.general.virtualbox                          Virtualbox inventory ...
community.general.xen_orchestra                       Xen Orchestra invento...
community.hrobot.robot                                Hetzner Robot invento...
community.libvirt.libvirt                             Libvirt inventory sou...
community.proxmox.proxmox                             Proxmox inventory sou...
community.vmware.vmware_host_inventory                VMware ESXi hostsyste...
community.vmware.vmware_vm_inventory                  VMware Guest inventor...
community.zabbix.zabbix_inventory                     Zabbix Inventory Plug...
containers.podman.buildah_containers                  Inventory plugin that...
containers.podman.podman_containers                   Inventory plugin that...
dellemc.openmanage.ome_inventory                      Group inventory plugi...
google.cloud.gcp_compute                              Google Cloud Compute ...
hetzner.hcloud.hcloud                                 Ansible dynamic inven...
infoblox.nios_modules.nios_inventory                  Infoblox inventory pl...
kubevirt.core.kubevirt                                Inventory source for ...
microsoft.ad.ldap                                     Inventory plugin for ...
netbox.netbox.nb_inventory                            NetBox inventory sour...
ngine_io.cloudstack.instance                          Apache CloudStack ins...
openstack.cloud.openstack                             OpenStack inventory s...
ovirt.ovirt.ovirt                                     oVirt inventory sourc...
telekom_mms.icinga_director.icinga_director_inventory Returns Ansible inven...
theforeman.foreman.foreman                            Foreman inventory sou...
vmware.vmware.esxi_hosts                              Create an inventory c...
vmware.vmware.vms                                     Create an inventory c...
vultr.cloud.vultr                                     Retrieves list of ins...
